id,name,latitude,longitude,region
1,PERRANPORTH,50.34830161,-5.158938283,CORNWALL
2,FISTRAL,50.41652236,-5.100243014,CORNWALL
3,HOLLYWELL BAY,50.39153156,-5.14627816,CORNWALL
4,TOWAN,50.41616047,-5.0846938,CORNWALL
5,GREAT WESTERN,50.41590351,-5.076747223,CORNWALL
6,PERRAN SANDS,50.3589163,-5.15124867,CORNWALL
7,TREVAUNANCE COVE,50.32038209,-5.20178923,CORNWALL
8,PORTHOWAN,50.2891368,-5.245161057,CORNWALL
9,GWENVER,50.0899862,-5.690989274,CORNWALL
10,WOOLACOMBE,51.16107987,-4.218772735,DEVON
11,SALTBURN,54.58723102,-0.9703753023,YORKSHIRE
12,PORTHLEVEN,50.0804023,-5.313743066,CORNWALL
13,PORTHMEOR,50.21544963,-5.482382897,CORNWALL
14,CROYDE BAY,51.13022977,-4.245491815,DEVON
15,HIGHCLIFFE,50.73708441,-1.697053306,DORSET
16,BRACKLESHAM BAY,50.75956637,-0.8585727928,WEST SUSSEX
17,BLACKPOOL SOUTH,53.78515835,-3.059268204,LANCASHIRE
18,WHITLEY BAY,55.04796301,-1.445200929,TYNE AND WEAR
19,TYNEMOUTH,55.02633018,-1.425181378,TYNE AND WEAR
20,CAYTON BAY,54.24397058,-0.3609905816,YORKSHIRE
21,CROMER,52.93436528,1.293028395,NORFOLK
22,JOSS BAY,51.37910495,1.446337805,KENT
